M N nhits nmiss rc rr rl ratio
8 32 1 800 0.00047896224982105196 2.5412170798517765e-05 3.6697345809079706e-05 18.847750301166272
8 32 1 3200 0.0018500008750706911 4.6810920792631806e-05 5.815627090632915e-05 39.52071105941346
8 32 1 10000 0.005795891250018031 0.00010655649171676487 0.00011905836667865514 54.392662114138886
8 32 100 1 4.2562137497588995e-05 5.201701659243554e-05 6.320094589609653e-05 0.8182348832320094
8 32 100 100 0.00010142381659243256 5.2728975005447866e-05 6.402061248663812e-05 1.9234930430935482
8 32 100 800 0.0005088975420221686 5.9438454103656115e-05 7.053165000397712e-05 8.56175601631042
8 32 100 3200 0.001879148291889578 8.095184578560292e-05 9.211623328737914e-05 23.213161771090583
8 32 100 10000 0.005763277909718454 0.00014226315841078758 0.00015371818749699743 40.5113873057484
8 32 800 1 0.00027185662486590447 0.0002913306669797748 0.00030274412501603363 0.9331548500686256
8 32 800 100 0.00033042958402074873 0.0002922889580950141 0.0003035969999618828 1.1304894518572142
8 32 800 800 0.0007368269171565771 0.00029775312496349213 0.000309665541164577 2.4746236240070374
8 32 800 3200 0.002107769169379026 0.00031955662509426474 0.00032927516684867444 6.595917605392357
8 32 800 10000 0.005991600840352476 0.0003791094170883298 0.0003909611669369042 15.804410469066443
8 32 3200 1 0.0010547645839396865 0.0011039102079812438 0.0011146546669770032 0.9554804152672602
8 32 3200 100 0.0011147353749256582 0.0011038143329788 0.0011166965840384365 1.009893912065253
8 32 3200 800 0.0015211974591948093 0.0011124307499267162 0.0011247352501377464 1.3674536228839607
8 32 3200 3200 0.0028889129194431006 0.0011390488750766964 0.0011461579999886454 2.5362501843905334
8 32 3200 10000 0.006774704169947654 0.001194245875114575 0.0012063239170238375 5.672788419133283
8 32 10000 1 0.003275611251592636 0.003413960000034422 0.003428737500216812 0.9594755801355637
8 32 10000 100 0.003328487500548363 0.0034151137503795324 0.003427609170321375 0.9746344467086807
8 32 10000 800 0.0037395966681651772 0.0034196116612292826 0.0034342037490569053 1.0935734927342207
8 32 10000 3200 0.005111442499328405 0.0034466058295220137 0.0034532887488603592 1.4830365734155553
8 32 10000 10000 0.008995142919011413 0.0035035095806233586 0.0035197770898230374 2.567466339684152
8 128 1 1 2.176042920909822e-05 2.0995049993507565e-05 3.19860375020653e-05 1.0364552223418062
8 128 1 100 0.0002538419170305133 2.2067629219964148e-05 3.3139712503179905e-05 11.502908377709534
8 128 1 800 0.0018495189999230206 2.8605662495829166e-05 4.002947499975562e-05 64.65569536075904
8 128 1 3200 0.007328065419569612 5.026955408975482e-05 6.160675000865012e-05 145.7754211721386
8 128 1 10000 0.02268250419292599 0.0001107421041931957 0.00012244154589716345 204.8227668977204
8 128 100 1 0.0001202817125013098 0.00016611079580616206 0.0001773134875111282 0.724105329322899
8 128 100 100 0.0003606827089097351 0.00016730894590727985 0.00017857012499589473 2.155788544084308
8 128 100 800 0.0019837132920511066 0.00017322117078583688 0.00018472695839591324 11.45191019695672
8 128 100 3200 0.007450680409092456 0.00019466468750033527 0.00020583029207773507 38.27443233164528
8 128 100 10000 0.02298207499552518 0.00025383829115889966 0.0002649422499816865 90.53825130401104
8 128 800 1 0.001034345000050962 0.0011808012500405312 0.0011922164999414236 0.8759687542805852
8 128 800 100 0.0012680319999344646 0.0011803736661095171 0.0011938972920179367 1.0742632069333327
8 128 800 800 0.002895380419213325 0.0011997043339069932 0.001201196625130251 2.4134116526729064
8 128 800 3200 0.008387796250171959 0.001209729041205719 0.0012212091670371593 6.933615681253685
8 128 800 10000 0.023921941593289375 0.0012688524168916046 0.001280846333131194 18.85321040873501
8 128 3200 1 0.004162456670310348 0.004666094582062214 0.004675719998776913 0.8920643585562983
8 128 3200 100 0.004394328747875989 0.004668392080347985 0.004678387502208352 0.9412938485553324
8 128 3200 800 0.006042846669442952 0.004672645840328187 0.004681497500278056 1.2932387507927474
8 128 3200 3200 0.01152468750020489 0.00469546209089458 0.004705142911989242 2.454430954208642
8 128 3200 10000 0.027038941695354878 0.004755344579461962 0.004766793330200017 5.68601102265741
8 128 10000 1 0.01311363667016849 0.014686453328467906 0.014715880418661982 0.8929069787563548
8 128 10000 100 0.013326494579669088 0.014684742500539869 0.014694607499986887 0.9075061805938479
8 128 10000 800 0.014957152500282973 0.014737522499635815 0.014753285420592874 1.0149027762741387
8 128 10000 3200 0.02043972918763757 0.01475452041020617 0.014783803750760853 1.3853197948405533
8 128 10000 10000 0.036017708294093606 0.014807722079567612 0.014808169158641249 2.432359825539441
32 1 1 1 1.6391577918548137e-05 1.6769361249171197e-05 2.7930862503126264e-05 0.977471811537143
32 1 1 100 2.3949641711078583e-05 2.0774479210376738e-05 3.202819169964641e-05 1.152839571502513
32 1 1 800 7.49044582946226e-05 4.608247079886496e-05 5.733510418795049e-05 1.625443623054768
32 1 1 3200 0.0002459737090393901 0.0001286763166077435 0.00014015412498265506 1.9115693977254231
32 1 1 10000 0.0007311857091262937 0.00036115433415398 0.0003731195000000298 2.0245796325250494
32 1 100 1 1.9975599995814264e-05 3.0820091697387395e-05 4.190997078549117e-05 0.6481356444993182
32 1 100 100 2.7735095797106624e-05 3.537046250421554e-05 4.661288328934461e-05 0.7841315559218681
32 1 100 800 7.887614578939974e-05 6.092072499450296e-05 7.22563415998593e-05 1.2947341942584718
32 1 100 3200 0.00024989133281633257 0.00014607269170228393 0.0001573700041975826 1.7107327174174705
32 1 100 10000 0.000735540458932519 0.0003845672500319779 0.0003957276658620685 1.9126445605322777
32 1 800 1 4.918501251377165e-05 0.00013326082918792962 0.0001446232291171327 0.3690882970899801
32 1 800 100 5.642497909720987e-05 0.00013750170001294463 0.00014929622090421616 0.41035841078254254
32 1 800 800 0.00010738520841114223 0.00016251810421235858 0.00017397086250130087 0.6607584363082681
32 1 800 3200 0.00027847683313302697 0.00024700812506489453 0.0002584535831119865 1.1273994855831764
32 1 800 10000 0.0007635747501626611 0.0004866420831531286 0.0004981663748621941 1.5690684726959625
32 1 3200 1 0.00014717063340358437 0.0004807330840267241 0.0004921691669151186 0.30613793452876464
32 1 3200 100 0.00015435778331011532 0.00048708754102699456 0.000496308916946873 0.31689946941500763
32 1 3200 800 0.00020519808284007014 0.0005101063749752938 0.0005212893330026418 0.40226527819811814
32 1 3200 3200 0.0003764104589354247 0.0005953305419534445 0.0006065297909080982 0.6322713726400088
32 1 3200 10000 0.0008624509170185775 0.0008362800001632423 0.0008460044581443071 1.0312944430695778
32 1 10000 1 0.0004258459999691695 0.0014714744170196354 0.0014830102499108762 0.2894008859710179
32 1 10000 100 0.000431989667005837 0.0014762275421526282 0.0014898596669081598 0.29263081379440437
32 1 10000 800 0.00048279008315876127 0.0015040177500341087 0.0015143661671318113 0.3210002562455213
32 1 10000 3200 0.0006537061671260745 0.0015864564580842853 0.0015974246251862496 0.4120542759272781
32 1 10000 10000 0.0011368614591192453 0.0018209001668728889 0.0018316930830478669 0.6243403563807822
32 8 1 1 1.785877832910046e-05 1.7839644581545145e-05 2.8823920898139478e-05 1.0010725408495587
32 8 1 100 7.599533339962363e-05 2.1820408292114735e-05 3.3185299998149276e-05 3.4827640428289395
32 8 1 800 0.0004783690420445055 4.762422500643879e-05 5.9072412503883244e-05 10.044657776159719
32 8 1 3200 0.0018415915828663856 0.0001315809375140816 0.00014294312091078608 13.995884340536039
32 8 1 10000 0.005711694590281695 0.0003672672500833869 0.00037883075000718237 15.55187561369785
32 8 100 1 4.259245831053704e-05 5.970045831054449e-05 7.106332920957356e-05 0.7134360357668179
32 8 100 100 0.00010152420839294792 6.3926733401604e-05 7.53712167032063e-05 1.5881338368276543
32 8 100 800 0.0005079872501082719 8.980552500579506e-05 0.000101258962508291 5.6565255876572405
32 8 100 3200 0.0018777907080948352 0.00017402694579213857 0.00018555034999735655 10.790229636838584
32 8 100 10000 0.0057536191702820365 0.0004173307081218809 0.0004289982081390917 13.78671412936548
32 8 800 1 0.00027164587494917213 0.0003493665838614106 0.0003609337918460369 0.7775382291768657
32 8 800 100 0.00033068183390423656 0.00035385583294555544 0.00036574204196222125 0.9345100549893027
32 8 800 800 0.0007383611670229584 0.00038094399985857307 0.00039225408295169475 1.9382407054503492
32 8 800 3200 0.0021066633309237658 0.00046484487503767015 0.00047702312492765484 4.531970650968338
32 8 800 10000 0.005994879167992621 0.0007124064171221107 0.000723666625097394 8.414970758138278
32 8 3200 1 0.0010567373340018094 0.001342752416152507 0.00135395354218781 0.7869934332568629
32 8 3200 100 0.0011153883750084788 0.0013471786249428987 0.0013574594580568373 0.8279439373199344
32 8 3200 800 0.0015233214171603321 0.0013768537500873207 0.0013871865828987211 1.1063785220933757
32 8 3200 3200 0.002891310411505401 0.0014606613339856267 0.0014704141670372336 1.9794529671132188
32 8 3200 10000 0.006705350000411272 0.0017018814999610185 0.0017157686250284315 3.939962917844079
32 8 10000 1 0.0032795870886184273 0.004158384590409696 0.0041739104106090965 0.7886685363787654
32 8 10000 100 0.003333202078938484 0.004146430420223624 0.004157887909095734 0.8038726666390604
32 8 10000 800 0.0037432558299042283 0.004183630419429391 0.004194042079616338 0.8947386491215861
32 8 10000 3200 0.005104565839283168 0.004258972499519587 0.004272099998779595 1.1985439774168452
